"graph","type","node","measure","value"
"graph 1","PCC","eat_public","Strength",0.0731075055291932
"graph 1","PCC","sens_body","Strength",-0.504491921741928
"graph 1","PCC","hunger_anx","Strength",1.66258658572138
"graph 1","PCC","urge_restrict","Strength",0.305402113836611
"graph 1","PCC","food_intrus","Strength",-0.175806476887487
"graph 1","PCC","sleep","Strength",-1.36079780645777
"graph 1","PDC","eat_public","InStrength",-0.957359111178068
"graph 1","PDC","sens_body","InStrength",-0.809409252705924
"graph 1","PDC","hunger_anx","InStrength",0.896264876591402
"graph 1","PDC","urge_restrict","InStrength",1.53224343130149
"graph 1","PDC","food_intrus","InStrength",-0.160122123772091
"graph 1","PDC","sleep","InStrength",-0.501617820236807
"graph 1","PDC","eat_public","OutStrength",0.531371144305879
"graph 1","PDC","sens_body","OutStrength",0.279753947472719
"graph 1","PDC","hunger_anx","OutStrength",0.086376035375479
"graph 1","PDC","urge_restrict","OutStrength",0.988923007587986
"graph 1","PDC","food_intrus","OutStrength",0.0249446589341084
"graph 1","PDC","sleep","OutStrength",-1.91136879367617
